"[.펍지주식회사가 전 세계 배틀그라운드 팬들의 뜨거운 관심과 성원 속에 주간 펼쳐진펍지 글로벌 챔피언십 ], 긍정 텍스트 확률 : 92.96%"
"[위 상위권에 오른엔투스 에이스와엔투스 포스는 최종 결과엔투스 포스가 위점], 긍정 텍스트 확률 : 73.67%"
"[ 엔투스 에이스가 위점를 기록했다. ..일 차 위로 시작한 텔레콤 은 총 점을 얻으며 최종 위로 대회를 마무리했다...년 펍지 이스포츠 시즌 계획은 월 초 공개될 예정이며 펍지 이스포츠와 관련된 자세한 정보는 공식 홈페이지에서 확인할 수 있다. ], 긍정 텍스트 확률 : 96.44%"
"[.펍지주식회사는 지스타 ’를 통해 그 동안 대중에 잘 알려지지 않았던 플레이어언노운스 배틀그라운드 ], 긍정 텍스트 확률 : 73.93%"
"[게임을 넘어 문화 콘텐츠로 자리잡은 배틀그라운드로부터 영감을 받은 국내 컨템퍼러리 아티스트들의 작품도 함께 전시된다...배틀그라운드는 년 얼리엑세스로 출시됨과 동시에 많은 플레이어의 이목을 집중시키며 배틀로얄이라는 게임 장르를 개척했다. 배틀그라운드의 화려한 행보에는 제한된 환경 속에서도 포기하지 않고 도전을 이어온 의 헤리티지가 고스란히 녹아 있다. 펍지주식회사는 무엇보다 본질에 집중하고], 긍정 텍스트 확률 : 71.45%"
"[실패를 두려워하지 않고 끊임없이 도전하는 열정을 보여주기 위해 전시를 기획했다...이번 전시에는 당시 비인기 장르였던 배틀로얄과 배틀그라운드를 초기부터 지지하고 지금까지 함께해 온 파트너 스트리머들의 스토리], 긍정 텍스트 확률 : 71.01%"
"[가 대중과 소통하는데 있어 또 다른 창구 역할을 한다...팬 퍼스트 ’를 핵심 가치로 성장해온 펍지주식회사는 이번 지스타전시를 통해 배틀그라운드가 가진 스토리와 가능성을 관람객에게 전달하고 언더독의 반란’으로 대표되는 배틀그라운드의 헤리티지를 보여준다. ], 긍정 텍스트 확률 : 84.33%"
"[마카오 배틀그라운드 대회인 .?를를 마지막으로마카오 에 진출하는 개 팀이 모두 가려졌다.이번마카오진출팀은 펍지주식회사가 아시아 전 지역에서 주최한 공식 리그와 대회에서 치열한 경쟁을 거쳐 출전권을 획득했다. 각 지역을 대표하는 공식 리그와 대회를 통해 선발된 개 팀은 자신의 팀과 함께 지역 리그의 명예를 걸고마카오 에서 격돌할 예정이다. 마카오출전 시드권 총 장을 획득한 한국은.? 정규 시즌 상위 팀인 위], 긍정 텍스트 확률 : 51.73%"
"[ 펍지주식회사대표 김창한가 플레이어언노운스 배틀그라운드이하 배틀그라운드의 신규 맵 비켄디’를 공식 출시한다고 일 밝혔다. 비켄디는버전에 일 업데이트 되고 배틀그라운드 모바일에서도 곧 만나볼 수 있다. 엑스박스 원 과 에는 년 월 중 추가될 예정이다. 플레이어는 비켄디를 통해규모의 얼어붙은 전쟁터에서 팀을 이뤄 긴장감 넘치는 플레이를 펼칠 수 있다. 비켄디는 플레이어가 자신이 선호하는 착륙 지역을 기억하거나 환경에 빠르게 적응하기에는 적당한 규모인 동시에 자신의 페이스에 맞춰 유럽풍 도시], 긍정 텍스트 확률 : 93.33%"
"[공룡을 콘셉트로 한 년대 테마파크인 다이노 파크등 다양하고 특색 있는 지역을 만끽할 수 있을 정도로 넓은 공간감을 준다. 비켄디는 플레이어가 눈으로 뒤덮인 환경에 적응하며 생존할 수 있도록 설계됐다. 플레이어는 눈 위에 발자국 혹은 바퀴 자국을 추적하며 서로 쫓고 쫓기는 박진감 넘치는 배틀로얄 전투를 즐길 수 있다. 맑음과 눈 날씨 효과가 적용돼 맑은 하늘이 약한 눈발로 뒤바뀌는 등 색다른 플레이 경험이 가능하다.소총버전 한정], 긍정 텍스트 확률 : 97.61%"
"[스노우모빌 등 신규 아이템은 비켄디만의 재미를 더한다. 비켄디에서만 제공되는 는 . 구경의 소총으로 . 구경 총기보다 다루기 쉽지만 발사 속도가 느린 편이다. 플레이어는 신규 차량인 스노우모빌을 타고 눈밭과 얼어붙은 호수 위를 질주할 수 있다. 펍지주식회사는 버전에 비켄디를 업데이트하면서 서바이버 패스 비켄디’도 함께 선보였다. 플레이어는 주간 제공되는 무료 패스를 통해 건 이상의 미션을 완수하거나 게임을 플레이만 해도 특별 스킨이나 보상을 획득할 수 있다. 프리미엄 패스만원를 구매한 플레이어는 무료로 패스를 사용하는 플레이어보다 더 빠르게 레벨업을 할 수 있고 추가 보상도 받을 수 있다. 배틀그라운드 모바일 업데이트는 일 사전 다운로드 후 월 중 정식으로 이루어질 예정이다. 업데이트 기념으로 일 접속 시 회에 한해 크리스마스 신규 보이스 종과 기간제 와일드 건맨 스카프를 모두 지급하는 접속 이벤트], 긍정 텍스트 확률 : 86.13%"
