"[저는 주로 맛집이랑 숙소 찾을 때 잘 쓰구 있어요 여러가지 따져서 장소 찾을 때 특히 넘 편하구 쉽네요 앞으로 다른 카테고리도 써볼께요], 긍정 텍스트 확률 : 98.65%"
"[  새로운 UI  UX로 유저분들에게 새롭게 선보일 예정이니 기대해주세요 고객님의 소중한 의견은 저희 말해를 더욱 발전시키는 밑거름이 되니 앞으로도 많은 의견과 관심 부탁드립니다. 감사합니다.], 긍정 텍스트 확률 : 99.97%"
"[  실시간 분석에 따라 순위가 바뀔 수 있으니 참고해주세요 모든 멤버가 섹시한 흥탄소년단 앞으로도 많이 응원해주시고], 긍정 텍스트 확률 : 64.37%"
"[  말해에도 앞으로 꾸준한 관심 부탁드려요 말해 앱 내에서 공지 ; 의견보내기 를 통해 편하게 말로도 의견 접수가 가능하니 추가 의견 있으시면 여기로 보내주셔도 된답니다. 좋은 하루 보내세요 ], 긍정 텍스트 확률 : 97.38%"
"[  간혹 매체사 오류로 미지급되는 경우가 있는 것 같습니다. 카카오회원번호를 . 으로 전달주시면 빠르게 조치해드리겠습니다. 말해와 함께 다양한 취향으로 검색해보세요 D], 긍정 텍스트 확률 : 70.25%"
"[ 강선우님], 긍정 텍스트 확률 : 70.71%"
"[  말해의 검색 결과에 광고는 없습니다. 취향에 맞는 다양한 결과를 추천해드리기위해 맛집카페 과 커피전문점을 함께 보여드리고 있으니 선우님의 취향에 맞는 카페를 찾아보셔요  추가 의견이 있으실 땐 말해 앱 내 좌측 공지 ; 의견보내기 버튼을 눌러 말로도 편하게 보내실 수 있으니 한 번 살펴보세요 감사합니다.], 긍정 텍스트 확률 : 76.94%"
"[ 뚜삐류Y 님], 긍정 텍스트 확률 : 70.71%"
"[  더 편리해진 말해를 즐겨보세요 소중한 피드백 감사합니다.], 긍정 텍스트 확률 : 94.20%"
"[  주변 ATM 도 찾아주는 등 다양하고 간편한 음성검색을 즐길 수 있는 말해 서비스], 긍정 텍스트 확률 : 94.46%"
"[ 신구설치인데 왜카키오페이지캐시지급이안댈까요...고쳐주면 볗점올려드림], 긍정 텍스트 확률 : 87.21%"
"[  주변 ATM 도 찾아주는 등 다양하고 간편한 음성검색을 즐길 수 있는 말해 서비스의 많은 이용 부탁드려요 D], 긍정 텍스트 확률 : 93.05%"
