"[ 베비언스 온리 라인업 ], 부정 텍스트 확률 : 53.34%"
"[ 베비언스 온리 물티슈 종은프리미어트러스트 에센셜 ], 부정 텍스트 확률 : 53.34%"
"[휴대용 휴대용을 제외한 나머지 가지는 물티슈 원단과 두께 차이로 구분되요. ], 부정 텍스트 확률 : 96.59%"
"[색소등 물티슈에 불필요한 성분은 과감히 빼고먹는 물 수질 기준에 적합한 단계 정수시스템을 거친 정제수이상을 함유하고 있어요. ], 부정 텍스트 확률 : 86.17%"
"[ 요건 트러스트매사이즈도 앙증맞아서 외출시 챙겨다니기 딱이에요 ], 부정 텍스트 확률 : 61.06%"
"[ 눈으로 봤을때는 두께감이 느껴지지 않는데손으로 만져보면 확실히 프리미어 트러스트 에센셜순으로 두께감이 다르더라구요. ], 부정 텍스트 확률 : 74.87%"
"[ 이유식 초기 단계가 들어간 기념으로 떡방 하나 쥐어 줬는데], 부정 텍스트 확률 : 65.60%"
"[ 외출시 기저귀가방엔 베비언스 물티슈는 필수템], 부정 텍스트 확률 : 62.14%"
"[..이 글이나 다른 게시글에 대해 사전 연락 없이 게시중단 요청 넣으면 그 부분 추가해서 다시 올릴 거임..어이가 없다 정말......년], 부정 텍스트 확률 : 97.67%"
"[프로듀스시즌에서 엄청난 인기를 얻으며 워너원 센터로 데뷔했던 강다니엘. 나도 강다니엘에 치여 첨으로 입덕이라는 걸 했었다. .당시연습생으로 출연했던 강다니엘이랑 윤지성을 정말 좋아해서 얘네가 먹는 거 쓰는 거 많이 따라했었다ㅋㅋㅋ 다른 팬들도 그랬겠지만...그때 강다니엘 틴트로 유명했던 게 생활건강의 캐시캣 코드글로컬러 에이 스파클링 워터 틴트였다. 첨엔 입술색 별로 없다가 중반 즈음부터 점점 입술색이 생기더니 심할 땐 진짜 벌겋게 나오기도 해서 화제가 됐던 기억. ..근데연습생들이 올리브영에 있는 사진이 돌았고], 부정 텍스트 확률 : 93.46%"
"[.믿고 먹는 지슐랭가이드 윤지성이 과거에 추천했던 치킨도 먹고ㅋㅋㅋ 암튼 그런 글을 올렸었다.....근데 메일을 확인해 보니 뭐? 게시중단? 내가 뭘 했길래...?.... ], 부정 텍스트 확률 : 85.88%"
"[ .....명예훼손? 내가 블로그에 뭐 그렇게 문제가 될 만한 글을 쓰진 않았던 거 같은데....기껏해야 화장품 잔뜩 지르고 반성하는 글이나 덕질하며 앓는 글이나 써댔는데... 내 명예가 없어지면 없어졌지............. ], 부정 텍스트 확률 : 87.01%"
"[ ...링크 들어가 보고 어이가 없었다..무려 년 넘은 게시글 ㅋㅋㅋㅋㅋㅋㅋ.그냥 워너원 되기 전 강다니엘 윤지성 덕질하면서 걔네 손민수하던 글인데 ㅋㅋㅋㅋㅋ...... ], 부정 텍스트 확률 : 97.94%"
"[ ....문제가 된 생활건강 화장품이면 이거네..강다니엘 틴트로 소문났던 코드글로컬러 틴트...솔직히 별로여서 별로라고 썼다. .바르자마자 진하게 착색이 되어버려서 색감 조절하기도 힘들고], 부정 텍스트 확률 : 99.33%"
"[입술 각질 관리 꼼꼼히 해도 지저분하게 지워짐. 게다가 색깔 다 다른 걸로 가지 색을 샀다. 전색상이 종이니 거의 다 산 건데 발색도 죄다 진한 자주색으로 똑같고...까놓고 말해 당시 강다니엘 틴트 참사], 부정 텍스트 확률 : 95.85%"
"[엄청 유명하지 않았나? 틴트가 예뻐서라기보다는 그냥 그런 모습의 다니엘마저도 귀엽고 하나라도 공통점을 갖고 싶으니까 팬으로서 그냥 따라서 샀던 거지. ..물론 개인차가 있으니 잘 맞아서 잘 쓰는 사람도 있겠지만 나한텐 별로였고 그래서 비추한다고 썼다. 그렇다고 내가 다른 화장품 회사 관계자라든가 그런 것도 아니잖아? 장업계와 상관 없는], 부정 텍스트 확률 : 99.93%"
"[그냥 화장품 사고 화장하는 게 취미인 코덕 뷰티블로거일 뿐. .....참고로 아래가 그 생활건강으로 인해 게시중단 먹은ㅋㅋㅋ 그 부분..다른 부분은 정샘물 쿠션이랑 틴트 따라 산 거], 부정 텍스트 확률 : 98.93%"
"[지성이 따라서 지성정식 사먹은 거라 게시중단 문제와는 상관 없을 듯...... ], 부정 텍스트 확률 : 83.74%"
"[ ... ], 부정 텍스트 확률 : 75.40%"
"[ ... ], 부정 텍스트 확률 : 75.40%"
"[ ... ], 부정 텍스트 확률 : 75.40%"
"[ ....그냥 이 정도? .애초에 다른 사람 의견 참고해서 좋은지 나쁜지], 부정 텍스트 확률 : 95.56%"
"[나에게 잘 맞는 제품인지 알고 싶어서 네이버 블로그에서 화장품 후기 검색하는 거 아닌가..무조건 다 좋다고 말할 필요는 없잖아? .내가 무슨 라이벌 브랜드의 사원이라도 되어서 악의적으로 까내리거나 한 것도 아니고. .. 생활건강이면 국내에선 상당히 유명한 대기업인데], 부정 텍스트 확률 : 93.90%"
"[문제점을 지적하는 사람이 있으면 참고해서 제품 개선에 반영하는 게 맞는 거지], 부정 텍스트 확률 : 85.72%"
"[년 넘은 게시물을 이제와서 썰어버리려고 하는 건지 이해가 안 됨. .....그리고 나의 개인적인 평이 아닌], 부정 텍스트 확률 : 90.67%"
"[녤이가 프듀 출연 당시에 틴트 바른 게 별로였다는 걸 이 제품과 연관지은 것에 대한 불만이었다고 해도 이해가 안 됨. ..처음부터 실제 강다니엘이 구입한 건지 확실하지 않지만 따라하다 보면 뭐 하나는 맞겠지 싶어서 샀다고 언급했고], 부정 텍스트 확률 : 84.14%"
"[당시 프듀에는 다른 회사의 화장품 브랜드가 협찬 중이었고 실제로 워너원 데뷔 후에 그 브랜드 모델이 됐으니... 실명 언급은 피하되 화제가 되고 있는 건 언급해달라한 게 아닐까 싶지만 이건 어디까지나 내 추측일 뿐이다.....하지만 일단 제품에 원고료까지 지불하며 의뢰한 리뷰인 만큼 사전이든 사후든 분명 담당자가 그 리뷰들 읽어봤을 테고], 부정 텍스트 확률 : 99.45%"
"[당연히 프로듀스 시즌 연습생 이야기도 봤을 텐데 거기에 대해 특별한 수정 요청 없이 지나쳤다는 건 최소한 강다니엘 틴트라는 소문에 대해 부인하지는 않겠다는 거 아닌가...인기있는 대세 아이돌 강다니엘이 썼다고 소문난 제품인데 예쁘고 좋다고 하는 후기는 되고], 부정 텍스트 확률 : 84.81%"
"[다니엘이 쓴 것도 별로로 보였고 내가 이 제품 써 봐도 별로라고 하면 안 되는 거? ......... ], 부정 텍스트 확률 : 97.30%"
"[ ...참고로 이건 임시중단된 게시물 말고 다른 게시물에서 언급했던 내용. .혹시나 해서 언급하자면 같이 언급된 타사 제품들에 대해서도 프로 칭찬만 한 것도 아니고], 부정 텍스트 확률 : 98.38%"
"[어쨌든 다 팬심으로 내 돈 주고 산 제품들임...그리고 생활건강의 다른 화장품들], 부정 텍스트 확률 : 92.55%"
