"[ 인터페이스가 편하고 업데이트가 잘되서 좋다.], 긍정 텍스트 확률 : 71.55%"
"[  10업데이트 이후로 안되네요. 디버깅이발견되어앱을종료합니다. 재설치도마찬가지네요], 긍정 텍스트 확률 : 83.67%"
"[  코인원입니다. 얼리어답터 고객님], 긍정 텍스트 확률 : 74.25%"
"[  지원이 다소 늦은 점 죄송합니다. 코인원도 더 빠르게 대응하기위해 계속 더 노력하겠습니다. 감사합니다. 코인원 팀 드림], 긍정 텍스트 확률 : 53.28%"
"[  코인원입니다. 더욱 더 편리하게 사용하기 위한 개선을 계속해서 하겠습니다. 칭찬해주셔서 너무 감사드립니다.  코인원팀 드림], 긍정 텍스트 확률 : 84.97%"
"[ 다른 은행은 지원해줄 수 없나요? 가지고 있는 통장이 1개 밖에 없어서 어떻게 할 수가 없네요.], 긍정 텍스트 확률 : 79.96%"
"[  코인원입니다. 매우 아쉽게도 코인원의 원화 실명 계좌를 지원하는 은행은 현재 농협 뿐 입니다. 추후 규제및 정책 변경에 따라 신속히 대응하도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 87.97%"
"[  코인원입니다. 먼저 불편을 끼쳐드려 죄송합니다. 상세히 지적해 주셔서 진심으로 감사드리며], 긍정 텍스트 확률 : 75.30%"
"[  인증방식을 최대한 빨리 개선하도록 하겠습니다. 개선을 한 이후에 더 나아진 코인원을 다시 한번 이용해주시길... 부탁드립니다. 유저의 요청사항을 대응하고 개선해나가는 코인원이 되겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 84.87%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 인증이 다소 까다로운 것은 더 나은 보안을 위해서임을 말씀드리며 양해 부탁드립니다. 가까운 시일안에 보다 간편한 인증을 위한 새로운 서비스가 추가됩니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 88.03%"
"[ 안녕하세요 코인원 입니다. 이용에 불편을 드려 죄송합니다. 혹시 현재 2.3.3 버전에서 지속적으로 발생되고 있는지요? 지속적으로 발생되는 현상이라면 고객센터로 연락주시면 바로 지원드리도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 69.31%"
"[ 입금이 쉽고 빨라서 좋습니다. 후오비 쓰다가 코인원 써보니 빠르고 입금이 쉽고 사용이 간편해서 좋습니다.], 긍정 텍스트 확률 : 76.81%"
"[  코인원입니다. 입금 사용에 만족하셨다니 정말 다행입니다. 코인원은 은행의 실명계좌를 등록할 수 있는 안전한 거래소 입니다. 앞으로도 많은 이용 부탁드립니다. 그리고 더 좋은 서비스를 제공하기 위해 더 노력하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 98.55%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 로그인을 하시고 PIN 인증을 하는 것은 보안상 더 안전한 거래환경을 제공하고자 함입니다. 다른 불편한 사항이 있으시면 언제나 말씀해주세요 감사합니다. 코인원팀 드림 아하 넵 이제 이해하였습니다. 다음 업데이트에서 재로그인 관련하여 보안을 헤치지 않는 범위내에서 개선하도록 하겠습니다 불편을 끼쳐드려 죄송합니다.], 긍정 텍스트 확률 : 97.60%"
"[  코인원입니다. 지문 인식이 안된다는 말씀이시죠? 이용에 불편을 드려 죄송합니다. 확인 후 개선하도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 68.64%"
"[  코인원입니다. 가상계좌 등록에 불편함을 드려 죄송합니다. 고객센터 처리가 더 빠르고 원활하게 진행되도록 담당자에게 전달하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 60.20%"
"[  코인원입니다. 이용에 불편을 드려 죄송합니다. 다음 업데이트에서 재로그인 관련하여 보안을 헤치지 않는 범위내에서 개선하도록 하겠습니다. 좋은 의견 주셔서 감사드립니다. 코인원팀 드림], 긍정 텍스트 확률 : 86.50%"
"[ 힌트체인 거래차 설치했습니다 앱이 직관적이고 딜레이없고 괜찮네요 고인원이란 허물을 벗고 1등 거래소가 될수있기를 바랍니다.], 긍정 텍스트 확률 : 76.09%"
"[  코인원입니다. 칭찬해주셔서 감사합니다.  고인원], 긍정 텍스트 확률 : 92.45%"
"[  아니 코인원 또한 더욱 직관적인 거래를 위해], 긍정 텍스트 확률 : 64.05%"
"[  고이지 않기 위해 지속적으로 개선하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 95.39%"
"[ 지문인식만하면 바로 로그인되서 좋아요 코인 보는것도 쉽고 편리함둥], 긍정 텍스트 확률 : 81.05%"
"[  코인원입니다. 칭찬해주셔서 감사드립니다.  더 쉽고 편리한 앱이 될수있도록 지속적으로 개선하겟습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 96.58%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 앱 업데이트 사항중 일부의 경우는 보안적으로 혹은 기능적으로 반드시 필요한 사항이 포함되어 있어서 필수 업데이트를 하셔야 되는 경우가 더러 있습니다. 더 나아지려는 몸부림으로 생각해주세요 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 96.74%"
"[  코인원입니다. 먼저 사용에 불편함을 드려 죄송합니다. 초기정보 실패의 경우 네트워크 문제로 종종 발생합니다. 다시 한번 확인해주시고 지속적으로 발생한다면 고객센터에 문의해주세요], 긍정 텍스트 확률 : 68.69%"
"[  감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 89.09%"
"[  코인원입니다. 칭찬해주셔서 정말 감사드립니다.  더 신뢰갈 수 있도록], 긍정 텍스트 확률 : 79.99%"
"[  더 사용하기 편리하도록 지속적으로 개선해나가겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 81.93%"
"[  네트워크 문제로 발생되는 경우가 간헐적으로 발생합니다. 보다 나은 서비스를 위해 개선하도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 90.25%"
"[ 가입후 로그인하고 인증단계에 ARS인증후 OTP인증], 긍정 텍스트 확률 : 53.89%"
